"filename", "language", "JSON", "JSON with Comments", "XML", "SCSS", "CSS", "HTML", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-instance/process-instance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/task-instance/my-candidate-task-instance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/task-instance/task-instance-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/task-instance/task-instance-execute.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/task-instance/task-instance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 106, 0, 3, 109
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car-execute.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 13, 73
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car-execute.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 215, 0, 3, 218
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car.model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-car/task-choose-car.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-flight/task-choose-flight-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-flight/task-choose-flight-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 88
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/travel-plan-process/task-choose-flight/task-choose-flight-execute.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 13, 71
